service_id,service_name,category,intended_users,service_description,delivery_context,contact_or_access_methods,recommended_next_step,next_step_url,source_url,source_evidence_excerpt,source_http_status,next_step_http_status,last_verified_date,limitation,review_status,content_hash
mcgill-iss,International Student Services,immigration,"McGill international, exchange, and visiting students; service eligibility should be confirmed with ISS.","ISS is open Mondays to Fridays, 10am - 4pm both in-person and virtually. Visit our work and permits web page for more information.",In-person and virtual support.,Contact Us: https://www.mcgill.ca/internationalstudents/ihi-contact-us | Contact ISS: https://www.mcgill.ca/internationalstudents/contact-us | Applying for Immigration Documents: https://www.mcgill.ca/internationalstudents/immigration-documents/documents | ISS on Facebook: https://www.facebook.com/mcgill.iss,Review the relevant ISS topic and contact ISS when individual guidance is needed.,https://www.mcgill.ca/internationalstudents/contact-us,https://www.mcgill.ca/internationalstudents/,"ISS is open Mondays to Fridays, 10am - 4pm both in-person and virtually.",200,200,2026-06-12,The navigator must not interpret immigration documents or determine immigration eligibility.,content_verified_for_proposal,7e166c3382d2087e8992d37630c3b8ab5f06b7fdf1630f677fee9d725344d58a
mcgill-ihi,International Health Insurance,health_insurance,International students who may be covered by McGill's International Health Insurance plan.,"ISS is open Mondays to Fridays, 10am - 4pm both in-person and virtually. Discover who is covered under the International Health Insurance (IHI).",Online coverage information with support through International Student Services.,Contact Us: https://www.mcgill.ca/internationalstudents/ihi-contact-us | Contact ISS: https://www.mcgill.ca/internationalstudents/contact-us | Contact Medavie Blue Cross: https://www.mcgill.ca/internationalstudents/health/contact-medavie-blue-cross | Contact Us: https://www.mcgill.ca/internationalstudents/category/tags/contact-us,Confirm who is covered and review the official coverage-activation instructions.,https://www.mcgill.ca/internationalstudents/health/activate-ihi-coverage,https://www.mcgill.ca/internationalstudents/health,"ISS is open Mondays to Fridays, 10am - 4pm both in-person and virtually.",200,200,2026-06-12,"Coverage, exemptions, costs, and claim eligibility must be confirmed through official IHI sources.",content_verified_for_proposal,362966eaabafb4948f2520a200d9df2f9c72b9da0fd72e54c37119e5fc50add6
mcgill-access-care,Access Health and Wellness Care,healthcare,International students seeking guidance on how to access healthcare in Quebec.,"If you are experiencing an emergency , a life-or limb-threatening situations or immediate safety concerns, call 911 or Go to the nearest hospital emergency department. You may also consult the Student Wellness Hub’s urgent care page to find an appropriate resource. Anyone living in Québec can also call Info-Santé, a free confidential telephone consultation service, at 811 to speak to a nurse 24/7.","Official navigation for on-campus, telehealth, and off-campus care routes.",Local Wellness Advisors: https://www.mcgill.ca/wellness-hub/about-hub/clinicians/local-wellness-advisors | book appointments: https://www.mcgill.ca/wellness-hub/get-support | 514-398-7992: tel:514-398-7992 | 514-329-1999: tel:514-329-1999,Review the appropriate care route; for emergencies call 911 or go to the nearest emergency department.,https://www.mcgill.ca/internationalstudents/health/access-healthcare,https://www.mcgill.ca/internationalstudents/health/access-healthcare,"If you are experiencing an emergency , a life-or limb-threatening situations or immediate safety concerns, call 911 or Go to the nearest hospital emergency department. You may also consult the Student Wellness Hub’s urgent care page to find an appropriate resource.",200,200,2026-06-12,"The navigator must not diagnose, recommend treatment, or determine whether symptoms are an emergency.",content_verified_for_proposal,bd085b7fa63d1c11b5cedf05b15d507d4da8b5174caaff28e270743761a3ad01
mcgill-wellness-hub,Student Wellness Hub,wellness,McGill students seeking services that support their health and well-being.,"The Student Wellness Hub provides a range of services to support the well-being of McGill Students with a focus on awareness, prevention, and early intervention. Follow @HealthierMcGill for updates on Hub services, wellness tips, and upcoming events. Get Support Physical Health Support Mental Health Support Nutritional Support Supporting Someone Else Telehealth Find Community Resources Resources Available 24/7 Gender Affirming Care",McGill wellness services and online information.,Get Support: https://www.mcgill.ca/wellness-hub/get-support | Contact Us: https://www.mcgill.ca/wellness-hub/contact | Online Booking: https://www.mcgill.ca/wellness-hub/contact/online-booking | Get Support On & Off Campus: https://www.mcgill.ca/wellness-hub/get-support,Review the Hub's support options and use the official get-support page to identify an access route.,https://www.mcgill.ca/wellness-hub/get-support,https://www.mcgill.ca/wellness-hub/,"The Student Wellness Hub provides a range of services to support the well-being of McGill Students with a focus on awareness, prevention, and early intervention. Follow @HealthierMcGill for updates on Hub services, wellness tips, and upcoming events.",200,200,2026-06-12,Service availability and suitability depend on the student's situation and must be confirmed with the Hub.,content_verified_for_proposal,c269f0ac4fe729ecbbe697f7f0b4c1a956839a335d45b09459a007a5fa435c5c
mcgill-community-resources,Student Wellness Hub Community Resources,wellness,McGill students seeking health or social-service resources in Montreal and Quebec.,"There are many resources available to students in the broader health and social services community in Montreal and Quebec. Some are at no-cost, but many do have out-of-pocket fees or require you to submit claims to your health insurance. The information below may be subject to change. Please check with the resource for more details on eligibility, services, and/or costs.","External community, telehealth, and in-person resources; costs and eligibility vary.",Get support from our team.: https://www.mcgill.ca/wellness-hub/get-support/mental-health-support/find-mental-health-appointment | Tel : 514 285-5500: tel:514-285-5500 | Montreal Abortion Appointment Center: https://santemontreal.qc.ca/en/public/support-and-services/abortion-montreal-appointment-centre/ | 514 345-1356: tel:1-514-345-1356,"Review the relevant resource category and confirm services, eligibility, and costs with the provider.",https://www.mcgill.ca/wellness-hub/get-support/find-community-resources,https://www.mcgill.ca/wellness-hub/get-support/find-community-resources,"There are many resources available to students in the broader health and social services community in Montreal and Quebec. Some are at no-cost, but many do have out-of-pocket fees or require you to submit claims to your health insurance.",200,200,2026-06-12,Listings may change and may involve fees or insurance claims; inclusion does not guarantee suitability.,content_verified_for_proposal,8dfe6a2a61871699097d70169cf434118e4eb7b330851e474038507d061df6e2
mcgill-student-aid,Scholarships and Student Aid,financial_aid,"McGill students seeking scholarships, financial aid, work-study, or budgeting resources.","Find all the resources and advice you need to help pay for university, from step-by-step guides on how to apply for funding to information on how to budget effectively. Not sure where to start? These areas are a good bet (or you can click on our full directory drop-down list below ): Work on campus or in a McGill-affiliated hospital/organization",Online funding information and student-aid support.,https://www.mcgill.ca/studentaid/,Use the official service and funding directory to identify the relevant funding route.,https://www.mcgill.ca/studentaid/,https://www.mcgill.ca/studentaid/,"Find all the resources and advice you need to help pay for university, from step-by-step guides on how to apply for funding to information on how to budget effectively. Not sure where to start? These areas are a good bet (or you can click on our full directory drop-down list below ):",200,200,2026-06-12,The navigator must not determine financial eligibility or guarantee funding.,content_verified_for_proposal,a71b892c8aa55c7d3333b02d5c16037ccb7854cc1c3c911087b2edff2d4b770d
mcgill-international-funding,International Student Funding,financial_aid,"International students exploring McGill scholarships, awards, financial aid, and related funding.",McGill recognises the challenges International students can face when studying away from home. Scholarships and Student Aid is committed to ensuring that qualified students from any geographic region are financially supported in their goals to enter and complete academic programs at the University. This page points to the various funding opportunities that will help support these goals. Newly admitted undergraduate students can apply to McGill’s Entrance Scholarship Program . In-course award programs for undergraduate students currently studying at McGill fall under individual faculty jurisdiction as do those for graduate students .,Online information covering multiple funding programs.,https://www.mcgill.ca/studentaid/scholarships-aid/international-students,Review the funding categories and follow the official application route for the relevant program.,https://www.mcgill.ca/studentaid/scholarships-aid/international-students,https://www.mcgill.ca/studentaid/scholarships-aid/international-students,McGill recognises the challenges International students can face when studying away from home. Scholarships and Student Aid is committed to ensuring that qualified students from any geographic region are financially supported in their goals to enter and complete academic programs at the University. This page points to the various funding opportunities that will help support these goals.,200,200,2026-06-12,Funding eligibility and application requirements vary by program and must be confirmed officially.,content_verified_for_proposal,43e56fa6cd49258378f1a3383bfb9411c211674ed49cd6b82c3de27ba20b67bf
mcgill-caps,Career Planning Service,employment,"McGill students seeking career advising, skills development, jobs, internships, and networking resources.","The Career Planning Service (CaPS), McGill’s central career services, supports student career and leadership development through career counselling and advising, skills development workshops, experiential learning, career exploration programs, mentoring, and career and networking events. CaPS provides and oversees a wide variety of resources and tools to help students search for part-time and summer jobs, internships and post-graduation opportunities, including the myFuture platform, and the Student Experience Record , with the goal of helping students become career-ready now and for their future.","Career services, events, advising, and online tools.",https://www.mcgill.ca/caps/students/services/advising,Review CaPS services and use the official advising route when personalized career support is needed.,https://www.mcgill.ca/caps/students/services/advising,https://www.mcgill.ca/caps/,"The Career Planning Service (CaPS), McGill’s central career services, supports student career and leadership development through career counselling and advising, skills development workshops, experiential learning, career exploration programs, mentoring, and career and networking events. CaPS provides and oversees a wide variety of resources and tools to help students search for part-time and summer jobs, internships and post-graduation opportunities, including the myFuture platform, and the Stu",200,200,2026-06-12,Career support does not determine work authorization; international students should confirm permit rules separately.,content_verified_for_proposal,b42a2825bb333ebc0bcf412539733fafcc92296b83b815576f529fad1f6b360e
mcgill-work-permits,International Student Work and Permits Guidance,employment,Full-time international McGill students seeking official guidance about working during their studies.,"As a full-time International McGill student, you can work both on campus and off-campus, but it's important to ensure that you have the right documents to do so legally. “ Work ” is defined in the Immigration Canada Regulations as an activity for which wages are paid or commission is earned, OR that competes directly with activities of Canadian citizens or permanent residents in the Canadian labour market.",Online official guidance with links to work and permit topics.,https://www.mcgill.ca/internationalstudents/work,Review the applicable work topic and confirm that the required documents and authorization are in place.,https://www.mcgill.ca/internationalstudents/work,https://www.mcgill.ca/internationalstudents/work,"As a full-time International McGill student, you can work both on campus and off-campus, but it's important to ensure that you have the right documents to do so legally.",200,200,2026-06-12,The navigator must not interpret permit conditions or determine whether a student is legally authorized to work.,content_verified_for_proposal,230fb47b90b7bc0244d10d1bc06d29f77a3256f3f55b8d3e4fc2cae0a9aef668
mcgill-cle,Campus Life and Engagement,community,"McGill students seeking orientation, mentorship, involvement, leadership, and community connections.","Campus Life & Engagement fosters, in collaboration with partners across McGill and the greater Montreal communities, a vibrant, engaging and inclusive McGill community, where we help every student find inspiration, a sense of belonging, and opportunities to lead, connect, and grow.","Campus programs, events, mentorship opportunities, and online information.",https://www.mcgill.ca/cle/,Review Campus Life and Engagement programs to identify a suitable involvement or connection opportunity.,https://www.mcgill.ca/cle/,https://www.mcgill.ca/cle/,"Campus Life & Engagement fosters, in collaboration with partners across McGill and the greater Montreal communities, a vibrant, engaging and inclusive McGill community, where we help every student find inspiration, a sense of belonging, and opportunities to lead, connect, and grow.",200,200,2026-06-12,"Program schedules, availability, and intended audiences should be confirmed on official program pages.",content_verified_for_proposal,3e1ccfbc39aaa2506e6ee82c42fdd28272dd4af92f94477b59b36f5f98b0345f
